profile_name,post_url,post_caption,post_keywords,post_likes,comment_author,comment_text,comment_id,comment_keywords,comment_likes
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,55_h_sharma,lll 👁️ lll so superior amazing deep heart ❤️ attracting geourgious cuteness sexiest lovely 🌹💋🌹 angel of Rajasthan ❤️💋👄🔥👄💋❤️an so looking geourgious cuteness fitness smartness an compounded sexiest hotty beauuuty senorita lll 👁️ lll,18268887397290568,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,tea_break_clips,This digital aesthetics concept is highly creative. Brilliant output!,18101380406109094,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,jayakumar67139,You are like devadha I like you,18128441995595209,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,arunpuri119,Omg 😱 love 💕 you 💋,18082000097600336,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,ashokagrawa11111,क्या मेरे से बात पसंद करेंगी करेंगी,18112352185639656,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,vintonbelmontes,Lovely honey 🔥🔥🔥🔥🔥,18106769953699703,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,rajeshsolanki626513,Verry nice sweety ❤️,18082345252865524,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,priyesh.tk.904,Very beautiful 🫶🫶👌👌🥰🥰🥰❤️,18082133627095324,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,_pravin_dutt,Happy Diwali....❤️,18393227434121788,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,sarwanchouhan89,Verry verry nice my dear sister ❤️❤️❤️,18054117356178523,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,brajesh_21214,Liked by brajesh_21214 and others,,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,raamin_farahvashi,chehra irani🔥❤️👏👏👏😍😍,18089907394702859,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,jacky_framing,jacky_framing,18046511717302716,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,kanubhai2829,Cute super 😍u my sweet lady,18047400509614828,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,rawmanc,Check this out guys😍🔥🫣❤️‍🔥,18069755608807474,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,abppelx,1 like,18007145615758649,,1
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,kumarjitendar7158,Hai,18340421911089821,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,mk7470216,So sweet 💓💓💓💓💓💓💓💓💓,18275611339283473,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,sukhwinder__.045,So cute ❤️❤️,18050207567200495,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,vivekkumar.yadav16,Gorgeous looking,17898499659152094,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,av_lines77,बहुत सुन्दर,18453346561075762,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,ernest69462024,Beautiful,18017780114678051,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,srilakshmiganapathicreations33,Hi madm ma movies lo,18041879096122098,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,mohin.shah.370,Very nice 👏👏👏,18311952580229369,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,mohd_layaq_007,Very wish u happy birthday cute girl,18001826996557773,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,prashant01jha,Happy Birthday Sweetheart🕯🎂🕯,18044954273336584,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,kamalji.ak,Ai,18117327778433153,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,saddam_shaikh03___,So sweet,18084257632517439,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,sukhwinder__.045,So cute ❤️❤️,18282089830220373,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,santoshkalbhor6,U r one in a million ❤️,18019341923416675,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,__sumit__negii,liy,18296763016228703,,0
ai_drishti,https://www.instagram.com/ai_drishti/p/C8e0zigPiCg/,Edited,,0,__sumit__negii,edit ki,18076937188721076,,0
